,Artist,Title,spotify_id,acousticness,dancability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isTop100
1529,Frank Chacksfield & His Orchestra,Misty Valley,1pLQIk6lLAMyHl4YSZfrOb,0.938,0.181,0.182,0.884,0,0.124,-14.686,1,0.0331,100.818,0.0676,0
1530,Philip Glass,Concerto For Saxophone (Quartet Version): Movement IV,5qpd0r1Yz5pyHeWXTuJ8R3,0.96,0.488,0.313,0.881,0,0.0703,-11.929,0,0.061,162.529,0.526,0
1531,Bob Dylan,Trying To Get To Heaven,0dgdP5q0irOwAn7hEvEep1,0.476,0.481,0.479,0.00105,3,0.271,-13.366,1,0.0325,95.274,0.552,0
1532,Rise Against,Drones,7wOYlhUoHMpg2r96VWiIYR,8.19E-05,0.509,0.996,9.96E-06,8,0.0545,-3.741,1,0.0598,104.671,0.365,0
1533,Agnostic Front,Come Alive,6Ee0Lpa2PKtlxmt8h3dyeV,1.07E-05,0.203,0.963,0.0014,7,0.294,-5.274,1,0.0653,84.408,0.433,0
1534,Theodor Zox,System of Play,6HI407tr7RyimykFfHspYb,0.00395,0.802,0.824,0.9,2,0.0987,-12.225,0,0.0655,125.999,0.366,0
1535,Everly Brothers,Oh What A Feeling,5ZKeFaTzPq2u2Z92XdqM7M,0.635,0.607,0.207,0,0,0.197,-11.72,1,0.0247,82.705,0.42,0
1536,Ramy Ayach,Heyya Heyya,19G1b8Y9s0BkZ7DPaxFylU,0.0209,0.536,0.895,0,5,0.0932,-5.619,0,0.0756,175.922,0.816,0
1537,Refractory,Check the bomb,06KN3f2irBz9QSBupYfiZ2,0.182,0.576,0.716,0.336,10,0.0847,-5.978,0,0.0306,92.949,0.153,0
1538,Frl.Menke,Sehnsuchtsexpress,2MS0C0SYkviImLuOFz8nXv,0.0212,0.737,0.605,3.24E-05,5,0.0599,-11.548,1,0.0503,90.956,0.884,0
1539,Gal Costa,Camisa Amarela,6agn6uyxnypYDHCXMwrekg,0.348,0.723,0.519,1.13E-05,0,0.148,-10.508,1,0.112,118.054,0.644,0
1540,Gene Pitney,For Me This Is Happy,0pZABGWsWzJqRJL7v2xSHC,0.95,0.578,0.187,0.000193,10,0.12,-12.132,1,0.0317,77.986,0.467,0
1541,Sex Pistols,Chatterbox,2Ry4rZVor2AnhOQdTGsiU4,1.77E-06,0.25,0.775,0.899,4,0.366,-5.715,0,0.0381,146.752,0.38,0
1542,Koffi Olomide,Elle Et Moi,4jMngqD3nQ6P8lxp7lhuEE,0.537,0.517,0.579,0.000146,0,0.0788,-12.169,1,0.085,101.649,0.899,0
1543,Inspiral Carpets,Keep The Circle Around,0uspGmyD3xW9gpVurfKHQJ,0.0489,0.26,0.976,0.653,10,0.208,-3.998,0,0.0808,149.791,0.494,0
1544,The Wreckers,Damn That Radio [Live],3znlWyerD2o4CVJNLdWzay,0.17,0.501,0.877,0,4,0.801,-5.15,1,0.105,151.915,0.721,0
1545,Enuff Z Nuff,Style,18EoHdX6TxU5n0jCfv6Sb3,0.0261,0.47,0.736,2.74E-05,6,0.594,-8.776,1,0.0386,79.506,0.391,0
1546,Stephen Warbeck,Birth Of The Falls,2p5p4tIKtIBNr0JXClcz5a,0.825,0.0962,0.262,0.963,9,0.359,-14.738,0,0.0369,67.16,0.0754,0
1547,Charlie McCoy,Columbus Stockade Blues,2S4LYwevWHNTusqkKjQYG4,0.0423,0.691,0.332,0.766,3,0.0968,-13.373,1,0.0381,113.166,0.815,0
1548,Lesley Gore,It's My Party,1Pq47iFLC5U7j8xeNiNcuS,0.368,0.692,0.501,0,9,0.0393,-11.708,1,0.0625,128.388,0.961,1
1549,Ennio Morricone,Sporco Ma Distinto,4Kk62C6KQIe0W2B1jpzszR,0.811,0.703,0.401,0.801,4,0.0583,-9.711,0,0.0318,90.57,0.542,0
1550,Various Production,Wot U Say,2zVZJFekNqtMgoNGPwr8Fs,0.0199,0.502,0.786,0.00123,7,0.0683,-8.934,0,0.0365,145.131,0.86,0
1551,Open Hand,Never Alone,5QqN6Y1ZbgGxYWwR6n7m3N,0.00439,0.299,0.958,0.292,0,0.969,-6.83,1,0.107,84.545,0.348,0
1552,Debbie Davies,Grow Up_ Grow Old,2Kxq9O8tECVdUtdTbdKYCk,0.35,0.816,0.608,0.000167,0,0.0487,-7.176,1,0.0296,107.119,0.962,0
1553,Willie Clayton,Walk Away From Love,6Wiqv0jLWkUnQqRHa2QR7V,0.243,0.683,0.718,0,10,0.0595,-3.23,1,0.0424,105.878,0.896,0
1554,Dave Hollister,Calm Da Seas,5rzpKPELr6IKTKVcKqLhPt,0.322,0.589,0.554,0,11,0.196,-5.228,1,0.0275,118.03,0.165,0
1555,Alvin Youngblood Hart,Screamin' & Hollerin' The Blues,1whUSNqt8pfyvMbBupp6zp,0.864,0.708,0.403,0,0,0.136,-7.931,0,0.0389,111.363,0.604,0
1556,Tanto Metro & Devonte,Strange Things,4eH4ms9IZqHaOeJSgy1NL1,0.291,0.769,0.855,0,6,0.185,-5.368,0,0.187,92.471,0.803,0
1557,Nestor Torres,Ran Kan Kan,2My5WWJZlCu3pD3VnaCNUG,0.431,0.893,0.694,0.412,7,0.0711,-4.94,1,0.059,98.513,0.804,0
1558,Casa Bulga,Afraid Of Change (Tribal Vocal Mix),2OqbrFKuS7LNxRFjqrmiHr,0.000102,0.751,0.922,0.704,0,0.0399,-7.695,1,0.0441,125.006,0.399,0
1559,The Impressions,I Found You,0NTMzEVlcrYlQYSF7XRJ94,0.101,0.579,0.744,8.42E-06,0,0.104,-6.867,0,0.0373,120.048,0.529,0
1560,Naseebo Lal,Dholna Dholna,0CDPC2pFdkWMRrTPtqtcUF,0.297,0.553,0.665,0.0352,0,0.145,-6.624,1,0.0382,76.341,0.727,0
1561,Franco,Forever,6gpSU2C1VJq0xaVIGtQPVi,0.00262,0.535,0.448,1.94E-05,2,0.115,-9.167,1,0.0279,101.984,0.32,0
1562,Junior Kimbrough,Meet Me in the City,5LmmZgxFg1sSfxENxsdtak,0.903,0.566,0.64,0.474,2,0.134,-7.88,1,0.0249,133.53,0.332,0
1563,Ziggy Marley And The Melody Makers,Namibia,2rqK62pUUnffQeZTQNgnzi,0.567,0.884,0.627,0,7,0.104,-10.854,1,0.0507,110.865,0.966,0
1564,Britney Spears,3,6pymOcrCnMuCWdgGVTvUgP,0.0452,0.697,0.709,0,5,0.138,-1.917,0,0.0455,134.91,0.787,0
1565,Crematorium,Unlearn,7i4hkMMWTl02apbFoaUEQh,8.93E-05,0.315,0.896,0.0769,11,0.628,-7.242,1,0.253,122.064,0.381,0
1566,Flink,Sunset Manifesto,17M0GWFCVXxa2JBXCRxzRu,0.00232,0.549,0.836,0.286,6,0.112,-5.934,0,0.045,147.948,0.763,0
1567,Salt The Wound,From My Hands,50KZRMRmGz3ECHNIJYaWOY,2.22E-05,0.262,0.937,0.199,2,0.0741,-5.33,1,0.244,89.718,0.228,0
1568,Maximilian Hecker,Birch,1O3CekhCV1MXXX9duDVLJG,0.954,0.241,0.179,0.0314,5,0.113,-10.38,0,0.0336,77.203,0.0393,0
1569,Eminem,The Way I Am,23wfXwnsPZYe5A1xXRHb3J,0.144,0.785,0.871,0,4,0.309,-2.692,0,0.265,87.248,0.315,1
1570,Albert Collins,Same Old Thing,4G5MIzuLUnQWwrVynlNTPm,0.12,0.712,0.591,0.00135,0,0.0454,-11.609,1,0.0394,94.485,0.737,0
1571,Seal,Killer (Single Version),5NWuFuBYzgxOv8ATZltnTZ,0.0352,0.681,0.798,0.0119,5,0.102,-8.361,0,0.0495,118.053,0.867,0
1572,Brian Dullaghan,Can't Help Falling In Love,0JDere4BzgxpSdDSp1De2r,0.478,0.708,0.237,0.000576,3,0.0523,-16.599,1,0.0306,90.228,0.7,0
1573,Winston Reedy,Paradise In Your Eyes,5Q4dWVW5GnNpUTURAVz7qh,0.324,0.725,0.59,2.78E-05,0,0.382,-6.481,1,0.0575,130.685,0.877,0
1574,Fergie,Voodoo Doll,0D2nmjyqmjMuKbxM3WKLFu,0.108,0.821,0.525,0.000942,8,0.233,-6.361,0,0.0659,130.044,0.697,0
1575,Los Amigos Invisibles,Nerio Compra Una Contestadora,33duFKeOvIFrMnhDjPCBBg,0.971,0.599,0.257,0.0432,11,0.111,-20.466,0,0.305,88.278,0.746,0
1576,Birmingham Jubilee Singers,King Jesus Is My Captain,1pXZTSFldLxNmdZQHwkYZi,0.989,0.709,0.0443,0,8,0.151,-14.115,1,0.0384,76.101,0.765,0
1577,Ill Harmonics,Profound Sound (Take Two Album Version),7d1r0cKCCqdAk7G3S52fOO,0.176,0.646,0.582,3.03E-05,9,0.0812,-8.743,1,0.24,90.572,0.511,0
1578,Cannon's Jug Stompers,Heart Breakin' Blues,6Emq41Oow47fzktESnqrRj,0.969,0.481,0.277,0.199,11,0.145,-12.926,1,0.065,141.031,0.752,0
1579,Aimable,Tango Andorra,3cForBBZkduIZ0D9IsdHkF,0.839,0.538,0.198,0.891,0,0.252,-14.963,1,0.0296,106.857,0.483,0
1580,30 Seconds To Mars,Year Zero,7FHHcp2TyEru35lRbRchnv,0.0294,0.313,0.676,0.388,3,0.0968,-7.634,1,0.0818,121.537,0.0974,0
1581,Tyrone Davis,I Can't Help Myself,2bLDNhcsv8FgyykVJwtYtW,0.671,0.6,0.424,1.08E-05,5,0.0827,-10.389,0,0.0338,169.747,0.663,0
1582,Thrice,The Earth Isn't Humming,3K1QP5MyaAoKoPwwqo2EhZ,0.231,0.697,0.713,0.000286,9,0.11,-8.101,1,0.0285,142.029,0.922,0
1583,Shelby Flint,I've Grown Accustomed To His Face I've Grown Accustomed To His Face,4y5OwAHF30LRNyLmLEDERb,0.916,0.305,0.181,8.72E-06,5,0.521,-13.942,1,0.0326,96.77,0.179,0
1584,Who Made Who,Satisfaction,2dFNDadTKff0dxcuOuv6fd,0.00228,0.741,0.815,0.17,3,0.27,-5.559,1,0.0371,132.984,0.778,0
1585,Jeff And Sheri Easter,Wolf In Sheep's Clothing,2eRrGPpzVnOOJsfIDpX1Si,0.102,0.596,0.82,5.74E-05,5,0.0823,-6.19,1,0.0284,89.976,0.789,0
1586,Orquesta Sublime,El divertido,1OX8O7oD8ukUojG2PoawDU,0.0238,0.436,0.895,0.00238,11,0.0901,-1.533,0,0.0538,98.894,0.915,0
1587,Snow Patrol,New Sensation,0bBdzdOql8t4jmjghR3tNx,0.528,0.68,0.373,0.000193,4,0.0911,-14.407,1,0.0314,115.029,0.311,0
1588,Dart,For The Good Times,1D5rDeOczSdn33Sq37orsh,0.994,0.516,0.0124,0.937,0,0.0839,-22.216,1,0.0699,76.661,0.384,0
1589,Pelle Carlberg,Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,2gVIsA98tFoIJNyKh4l0dr,0.0786,0.584,0.793,1.86E-05,9,0.131,-5.758,1,0.0339,84.93,0.913,0
1590,Out Of The Grey,Dreaming Of April,1yP4yc4UD7pLYquVylSvg8,0.509,0.32,0.482,1.37E-06,7,0.0763,-8.982,1,0.0354,175.139,0.289,0
1591,Milieu,Blackwood Moth,3KApsUPwxK3crRvgQWOpqE,0.0112,0.708,0.286,0.87,10,0.138,-13.724,1,0.143,174.06,0.736,0
1592,DJ Nasty,Pussy Hole,58JlaESRCpxu3i5W5R3Tco,0.00179,0.77,0.414,0.0654,11,0.139,-13.343,1,0.174,150.017,0.719,0
1593,Janina,Nachts um halb drei,0PhCZ8OiGK8MJQPheZCCkE,0.683,0.649,0.274,0,2,0.109,-7.999,1,0.16,141.387,0.598,0
1594,Panic At The Disco,I Constantly Thank God For Esteban [Live In Chicago],5F4YeuJPBERnEtpfRb9jFV,0.0743,0.269,0.897,0,5,0.708,-4.683,0,0.0959,155.368,0.326,0
1595,Christos Dantis,Pai Keros,7rJ6oE7BFFlwD3auBexWdA,0.643,0.527,0.286,0,11,0.178,-11.369,0,0.0316,66.043,0.113,0
1596,Mat Maneri,Iron Man,2aJB8QiYNh6tl2Qhg8ETju,0.994,0.662,0.0473,3.33E-05,11,0.133,-15.719,0,0.15,135.08,0.553,0
1597,Pumpkin Buzzard,000GrandPno,0mNmIjoFyNWYL8rXZHYiGS,0.881,0.684,0.119,0.177,0,0.151,-14.749,1,0.0617,120.637,0.309,0
1598,Seatrain,Abbeville Fair,2LgawNeQnT4KIurehjwW1N,0.0879,0.589,0.727,0.000325,2,0.0568,-5.659,1,0.0427,108.19,0.475,0
1599,Julie Roberts,The Chance,6u7ejpO5FVF02kRhZEnle2,0.591,0.521,0.288,0,1,0.104,-11.907,1,0.045,139.95,0.116,0
1600,SOJA,Be Aware,6a2nYkMqC9SCsqMIoF8A6S,0.0106,0.654,0.551,0,4,0.0459,-7.988,0,0.153,79.136,0.494,0
1601,UK Subs,Tomorrows Girls (Live),1AXC7cMCSMBNvWfxw9cn0l,0.000235,0.279,0.903,0.0408,9,0.671,-8.211,1,0.0652,86.651,0.535,0
1602,George Jones,Ol' Frank,2n3YjUXsWarXRIPagtgkm7,0.566,0.554,0.246,0,5,0.184,-15.467,1,0.035,131.509,0.317,0
1603,Grizzly Bear,Little Brother,3BJXT7qqVw8YR2VGFKXeiO,0.9,0.269,0.314,0.502,4,0.582,-13.629,0,0.0291,84.72,0.183,0
1604,Joselito,Clavelitos,14mXG18gO8AZ0rme18v0Ss,0.88,0.511,0.359,0,9,0.856,-8.133,1,0.0302,96.095,0.817,0
1605,This Moment In Black History,Blackwords Masking,6k8ZaSlIUZVAP4dA4uVnZK,0.000236,0.178,0.848,1.36E-05,0,0.587,-5.005,1,0.0701,156.805,0.347,0
1606,Imiskoubria,O Dikos Sou DJ,7mRWrupIbYn0AnBVam1ur6,0.0346,0.737,0.708,0,7,0.386,-6.853,1,0.128,97.197,0.475,0
1607,Nirvana,Polly,3tlXDvaNrrOmdvG0XVUOcv,0.884,0.83,0.382,0.301,2,0.11,-11.231,0,0.0566,121.12,0.54,0
1608,SNAP!,Do You See The Light (Deep Ethno Mix),2eaI8eGyGyDZdMeYFPg5tA,0.0434,0.701,0.571,0.757,11,0.091,-13.043,1,0.0341,131.99,0.23,0
1609,Los Chunguitos,Cuantas Madres Llorando,3XvxonfVhKQ34rGIhPZkMx,0.331,0.568,0.923,0,1,0.161,-4.362,0,0.0596,96.177,0.553,0
1610,Singing Melody,Lived My Life,5bCILBV99LIxxgu7Pn29Za,0.278,0.625,0.565,0,3,0.0542,-6.135,0,0.0783,81.457,0.86,0
1611,The Rodeo,Cha Cha Cha,2ucTcUzrNivqM0N7lLdjTb,0.503,0.528,0.896,0.872,9,0.167,-5.608,0,0.0354,91.083,0.741,0
1612,Al Di Meola,Calliope,5lUYUAWH86uNqB5LaiUeaS,0.019,0.584,0.395,0.723,0,0.133,-17.132,1,0.0309,110.022,0.408,0
1613,The Elders,Fire in the Hole,5LhhIzB7eXndzLFzQ4RjNw,0.0473,0.546,0.804,0.00172,9,0.102,-5.742,0,0.0293,149.819,0.664,0
1614,Kristine W.,Save My Soul (Cypher UK Radio Edit),5oAbrUmyotLxYo4oBQnXaH,0.0125,0.745,0.942,0.000566,6,0.272,-4.646,0,0.0634,129.972,0.712,0
1615,Mance Lipscomb,So Different Blues,7KTF8lEGNY7BZjRiEsDluP,0.916,0.506,0.255,0,5,0.153,-14.763,0,0.043,78.969,0.567,0
1616,George Nooks,TELL ME WHY,0jvoOrQ2AChZVnMXHBBnlS,0.497,0.742,0.475,1.50E-06,7,0.298,-6.943,1,0.182,76.034,0.863,0
1617,Chris Brown,Forever,3NZJlJemX3mzjf56MqC5ML,0.0368,0.672,0.82,0.000188,11,0.184,-4.456,1,0.0459,120.005,0.438,1
1618,Felix Slatkin/Concert Arts Symphonic Band,Washington Post (1998 Digital Remaster),187zdtmVzYDsUWfYzcbYn3,0.788,0.624,0.513,0.612,5,0.189,-14.789,1,0.0368,124.467,0.77,0
1619,Eddie Palmieri,No Pienses Asi,5lIuDrAE1kjWz3TmNuyFWq,0.583,0.532,0.21,9.89E-05,10,0.078,-17.299,0,0.0387,138.023,0.447,0
1620,HA-ASH,Amor a Medias,1zzwIjjJSTaKWB4PuuWMeC,0.161,0.593,0.76,0,9,0.349,-5.007,1,0.0293,137.012,0.562,0
1621,Energy,Czwarty,2aJZm9Vau6PEY713J6SteL,0.00356,0.471,0.876,0.0134,9,0.346,-6.074,1,0.0515,174.871,0.663,0
1622,William Orbit,Cavalleria Rusticana,3reEhPUrz0w81lgtbBoO0L,0.958,0.459,0.156,0.912,5,0.176,-18.99,1,0.0708,117.725,0.382,0
1623,Daddy Yankee,A Lo Clasico,1HgAViv2g9JqZy1wyA15AE,0.0476,0.853,0.84,0,4,0.142,-3.63,0,0.116,91.024,0.816,0
1624,Masta Ace Incorporated,Ain't No Game,2mOuYdlAW741mK3VlZrigQ,0.0592,0.738,0.671,5.65E-05,11,0.858,-8.074,1,0.361,88.082,0.601,0
1625,Hot Tuna,Parchman Farm,5Vf1qITyXC8vRrKWNQs1iK,0.00395,0.325,0.541,0.0818,1,0.532,-11.454,0,0.034,128.333,0.765,0
1626,Jimmy Riley,Amaze,6ZvtWOXpmmvKxBxCngpmXv,0.381,0.699,0.654,1.72E-06,1,0.208,-5.724,1,0.0326,159.816,0.595,0
1627,The Cortinas,Radio Rape,19mca6YZHbP6zIDs2VlLZM,0.165,0.792,0.398,0.0314,9,0.0818,-6.827,1,0.0405,135.294,0.634,0
1628,Al Dexter,I'll Wait for You Dear,5E2tR5IeXY31Olq5Pb9WtE,0.0804,0.476,0.645,0.843,2,0.576,-11.223,1,0.0286,204.791,0.971,0
1629,Kashief Lindo,I Love Your Way,25MF3OTFSLoiVPf2CyX8uo,0.0823,0.712,0.676,2.59E-06,9,0.0658,-4.853,1,0.0802,156.964,0.575,0
1630,Capleton,Cry For Love,2VsR20ZvSzMKi1Ca5XfG0q,0.145,0.739,0.828,0,8,0.343,-8.489,1,0.372,184.792,0.805,0
1631,BoDeans,Lookin' For Me Somewhere,5dcAaA6viLaoW1wq8tJP1u,0.614,0.618,0.0717,0.00181,7,0.115,-24.005,1,0.0705,78.646,0.74,0
1632,Bongzilla,Champagne & Reefer,6KlBm9gH1FHWb5EEodViFj,0.00154,0.28,0.819,0.828,4,0.112,-4.095,1,0.0391,97.085,0.734,0
1633,John Tchicai,Rainbow Dance,5xkwcRs9A3aYGNRmmgW7mp,0.941,0.407,0.0341,0.895,3,0.332,-32.875,0,0.0433,72.991,0.0397,0
1634,Bon Jovi,Raise Your Hands,7oJXOVieUvG8e9HDRhZGPK,0.0607,0.456,0.956,0.00198,2,0.0728,-3.086,1,0.0423,136.283,0.527,0
1635,Radiohead,15 Step,4oXg7xT4ksBxHTx8PcmSXw,0.0477,0.598,0.854,0.338,1,0.0934,-7.584,1,0.0422,94.458,0.844,0
1636,Danny Wilson,Get Happy,35SNiB0NyaLPEEc4Qqvma3,0.473,0.462,0.601,0,5,0.588,-8.305,1,0.327,182.896,0.866,0
1637,The Chap,Volumatic Spacer Device,66SECha3ZzqL87bZ1hCWgb,0.723,0.904,0.368,0.314,9,0.087,-10.659,1,0.138,123.01,0.49,0
1638,John Holt,I Need a Veggie,7yELsYKMS2HWOgYIDkcfnr,0.264,0.92,0.576,0,4,0.298,-7.663,0,0.127,131.412,0.823,0
1639,Otis Spann,No More Doggin',60tS5WiirpTSbE8tt3OFB6,0.282,0.544,0.547,0.000506,7,0.284,-12.198,1,0.0383,125.104,0.9,0
1640,DJ Vix,Putt Jhatt Da Gulabi Phull Varga,4S01fOBMsQ2ssFYXLBeSgg,0.000751,0.651,0.981,0,11,0.318,-3.291,0,0.162,97.866,0.928,0
1641,Tshala Muana,Banda Yango,0hjEgQ82pdI5N9tMkWsVjr,0.406,0.656,0.934,0.319,7,0.0614,-5.224,1,0.0431,127.951,0.968,0
1642,New Order,Guilty Partner,31mkWseXzIjCHOAW8TRnbe,0.288,0.585,0.955,0.0331,4,0.127,-5.435,0,0.0404,145.949,0.899,0
1643,The Sensational Alex Harvey Band,Delilah,35vWkRf2OZ5vDPjroWc5f6,0.473,0.363,0.665,0.00164,7,0.728,-10.803,0,0.0817,181.828,0.656,0
1644,Redman,I Got A Seecret,2Aki4raVquhiimF96icZVO,0.00633,0.637,0.838,0,11,0.126,-8.441,0,0.365,113.157,0.235,0
1645,Extreme,Song For Love,3yP553KE83Ubbw33nvwE4u,0.0186,0.253,0.701,6.94E-06,8,0.323,-7.878,1,0.0384,145.332,0.377,0
1646,Peggy Zina,Ithaki,7vn3FYcftfLmyMQgEQcWGn,0.887,0.699,0.167,0,10,0.0905,-12.755,0,0.0322,107.803,0.497,0
1647,Teena Marie,Playboy,1elF2hmhHgLTo8n4chas8v,0.213,0.72,0.925,0.00064,1,0.112,-5.44,1,0.0845,97.365,0.913,0
1648,Christian Quast,Jugglin' Clown,6Nf9H2eSxi6z2z0bGsNNtl,0.00508,0.806,0.733,0.807,10,0.422,-15.062,0,0.0683,127.016,0.338,0
1649,Pearl Jam,Wishlist,7hObovvcbBpXgZHQ9if4WU,0.0134,0.623,0.342,0.00412,0,0.106,-8.694,1,0.038,115.032,0.101,1
1650,Chaka Demus & Pliers,Santa Barbara,457AJjA1uwBtrhNVLdYYXA,0.0111,0.757,0.56,0.876,7,0.0676,-7.44,1,0.152,95.042,0.673,0
1651,Spoonie Gee,Spoonie Is Back,6jm4W71WFm1NZ9UUa8n3PZ,0.0567,0.857,0.888,0,1,0.0598,-6.887,1,0.112,101.577,0.778,0
1652,Vanessa Daou,Life Force,164TVSjQWkungz9WkJpJ7b,0.11,0.507,0.125,0.334,2,0.109,-19.225,1,0.0384,80.19,0.0777,0
1653,Shadows Fall,What Drives The Weak,5QNj3V5X2Hv8qSnejQ06eO,3.57E-05,0.499,0.923,0.000218,8,0.118,-4.043,1,0.0595,85.011,0.777,0
1654,Dave Brockie Experience,The Dance Of Europe,4MBbVTEv2jdJwfgaR1UBxT,0.00697,0.627,0.917,0.00127,1,0.0652,-2.719,0,0.0699,149.963,0.706,0
1655,Kenny Neal,Strike While the Iron is Hot,1JTpGDttRkPshBfoXQYobj,0.0546,0.621,0.779,0.259,9,0.306,-14.029,1,0.0472,106.851,0.948,0
1656,The Dils,Tell Me What I Want to Hear,5pUsjoNBmLvHtfNh9BwLN4,0.0349,0.149,0.991,0.11,10,0.966,-5.432,1,0.18,162.94,0.416,0
1657,Tech N9ne,Caribou Lou,0I0wn4G67txQwENcmRH3d6,0.127,0.784,0.815,0,1,0.0758,-2.703,1,0.298,178.119,0.559,0
1658,Thrice,Red Sky,1GNXjoTtM3fY7nUaLdmN0y,0.00544,0.536,0.744,0.0277,2,0.106,-4.778,1,0.0465,141.45,0.136,0
1659,Joi,Prem,5UJtLkVsd0vcJuFdUNcpks,0.989,0.32,0.0227,0.911,3,0.103,-26.848,1,0.0418,126.936,0.0391,0
1660,Alvin Youngblood Hart,Livin' In a Strain,52cvldkndUmUIZ76ZHyPCj,0.963,0.649,0.219,0.131,2,0.0773,-12.227,1,0.0402,112.9,0.52,0
1661,Flora Purim,Above The Rainbow,2IZPvD5m6NYIc9OBlM0rMS,0.656,0.208,0.376,0.00301,1,0.392,-15.034,1,0.037,121.113,0.0874,0
1662,Aceyalone,Suicide,2Nw3XXURIjtX6QzQXEZHfH,0.0749,0.669,0.897,0,11,0.083,-4.053,1,0.268,97.314,0.885,0
1663,Lonnie Johnson,She's My Mary,1C33qPkGmoTHZC04gJvKnZ,0.988,0.626,0.225,0.000859,10,0.14,-12.952,1,0.0438,130.891,0.715,0
1664,Pascal Lejeune,Demain au menu,7q55ze3R2jPY9w3GfzOtWx,0.392,0.633,0.48,0.121,5,0.219,-8.589,1,0.0275,114.059,0.509,0
1665,Francis Dhomont,Arrete! Arrete! Elle me tue,7lSq8XAmXpVRE9YmlCZJBq,0.85,0.466,0.471,0.212,11,0.467,-17.936,1,0.35,146.171,0.0432,0
1666,Ray Vega,Amor A Mi,3GBKj8FwlZJVCDVqiyKoqT,0.38,0.673,0.828,0,9,0.116,-4.219,0,0.0354,159.952,0.943,0
1667,The Cure,Doubt,3k8stV2VTjpIzqwFgOoyKv,0.000217,0.509,0.921,0.135,0,0.296,-5.328,1,0.0748,156.65,0.558,0
1668,Chelsea,Right To Work,7LBMl0Ssk0vr02JnHw9HV9,0.000419,0.311,0.908,0.00021,7,0.0926,-6.307,1,0.0769,152.743,0.58,0
1669,Kirk Franklin,Declaration (This Is It!),5vPnMZd9Ms9srd6rfd14jN,0.0146,0.825,0.852,1.78E-06,1,0.622,-5.199,1,0.125,104.051,0.493,0
1670,Recluse,Yellow Moon,2Xu3hy2vzKP5p23jXBQfDa,0.00298,0.572,0.991,0.822,7,0.095,-8.316,1,0.0487,135.012,0.162,0
1671,The Products,Punkrock Livin',1bHnElXJdPjPjsMxvbJ7wO,0.00279,0.309,0.926,0,4,0.0645,-5.461,1,0.0497,169.552,0.876,0
1672,Janis Joplin,Maybe,76ZExGgO2njBAqvPAeh1x4,0.219,0.353,0.347,0.0416,5,0.133,-11.509,0,0.0378,164.457,0.327,0
1673,Mylon LeFevre,Without Him (Ryman Gospel Reunion Version),2tCrgVEeJgKeJTtASlUGoR,0.413,0.246,0.483,0,7,0.729,-11.378,1,0.0433,85.536,0.201,0
1674,Dale Hawkins,Wish I Hadn't Called Home,39PVOORH2fs64VaPGGai5m,0.955,0.758,0.393,0.882,9,0.34,-11.235,1,0.0344,114.995,0.845,0
1675,T-Bone Walker,I'm Still In Love With You,5aWQUzDmeF3TCLOybM6v6t,0.985,0.478,0.178,0.00754,0,0.129,-12.554,0,0.0521,73.48,0.147,0
1676,K'Naan,Smile,7rpsx4R5YdXlqWsS5T1oQA,0.0898,0.697,0.835,0,5,0.199,-3.188,0,0.224,87.813,0.748,0
1677,Kelly Clarkson,Cry,4Ctj6T61fZpjG8uOXjVnZP,0.00276,0.475,0.771,0,10,0.126,-3.777,1,0.0335,142.219,0.147,0
1678,Sick On The Bus,Who R Ya,14yFo94kmjmSPTiMOLxNAC,0.000222,0.191,0.985,0.0113,9,0.0402,-4.082,0,0.382,174.422,0.155,0
1679,Johnny Copeland,Make My Home Where I Hang My Hat,5XQwXeTvSDK5m0Kwssa4P0,0.257,0.408,0.441,0.00543,0,0.0519,-11.082,1,0.0737,188.123,0.644,0
1680,JC Lodge,Let's Make Love,2X1lXkr8lM2DtSj1iRu7Gj,0.0945,0.771,0.519,0,10,0.0632,-5.994,1,0.0713,83.987,0.611,0
1681,The Chap,They Have a Name,4fMsRalVnxvzKoNJgEHlYO,0.0821,0.867,0.568,2.88E-05,5,0.319,-12.778,0,0.268,149.973,0.953,0
1682,The Florida Boys,When He Was On The Cross [I Was On His Mind],3hPrOKZzfcZc33XpQP95AP,0.777,0.398,0.337,0.000109,8,0.126,-9.405,1,0.0257,140.685,0.147,0
1683,Eliane Elias,The Beat Of My Heart,6dlqgdt4wdTKIJDYUmwRay,0.868,0.617,0.127,0.616,10,0.103,-22.434,0,0.0778,82.948,0.696,0
1684,Renee Rosnes,So In Love,5qgfugiia6Lzm8WKfNgZ59,0.753,0.406,0.22,0.708,5,0.123,-19.764,0,0.0319,103.46,0.214,0
1685,KALIMBA,Al Final,1uWRDGtHDM3uM3rwpqNMvb,0.495,0.365,0.689,1.21E-06,10,0.967,-5.653,1,0.0507,149.939,0.496,0
1686,Deitrick Haddon,Stir The Gift,1hrFeTC13UVLDUnlz7FaVe,0.363,0.569,0.69,0,7,0.407,-6.072,1,0.119,139.76,0.468,0
1687,Kyle Riabko,Doesn't Get Much Better,1thNlFqXx26Vjctys6t95i,0.0768,0.872,0.707,0.000271,5,0.118,-4.827,0,0.141,101.999,0.887,0
1688,Gipsy Kings,Camino,5ct8f9OdDic6WmYcxC3AOL,0.417,0.663,0.872,0,2,0.131,-8.449,0,0.0515,91.819,0.914,0
