Artist name_x,Title_x,spotify_id,has_lyrics,flesch_ease,gunning_fog,flesch_readability,acousticness,dancability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isTop100
Jennifer Lopez,Still,2zfwqlO7iM7kNqxG1E7hE7,1,114.01,3.24,-0.7,0.0513,0.737,0.674,0.000947,6,0.211,-5.196,1,0.0352,95.691,0.393,0
Van Halen,House Of Pain,6fYlvN1IlHi3cSY3tyZH1T,1,116.75,2.16,-1.8,0.000713,0.321,0.974,0.0713,4,0.351,-4.826,1,0.0788,99.609,0.65,0
Maroon 5,She Will Be Loved,4llK75pXNWZz6KAho2Gp16,1,115.54,3.01,-1.3,0.228,0.651,0.663,0,0,0.0994,-5.569,0,0.0281,102,0.465,1
Matt Redman,Facedown,2bnc3tPpFmHs2kmwU0CcSY,1,107.69,2.95,-0.4,0.378,0.364,0.421,0,6,0.108,-7.716,1,0.0269,156.028,0.173,0
Corona,I Don't Wanna be A Star,1647wMSQpPO2CdrKzdLuZu,1,105.55,3.24,0.5,0.0554,0.639,0.591,0.0145,0,0.325,-10.552,1,0.0325,132.015,0.427,0
Sade,Morning Bird,2MYrRBXN6kfZLQaTzlFrXD,1,117.06,2.04,-1.9,0.678,0.36,0.126,0.000483,7,0.143,-17.325,0,0.0403,175.637,0.0636,0
Aerosmith,Janie's Got A Gun,5fMwvrqujbQjUxcNPcYrUF,1,116.15,2.92,-1.5,0.0516,0.633,0.823,0.000496,5,0.188,-5.792,1,0.0287,115.107,0.444,1
STEVE CAMP,Judgement Begins With The House Of God,5cKfnJuYR4C1ZavSajTAW4,1,107.38,3.21,-0.3,0.817,0.393,0.166,0,0,0.272,-17.398,1,0.0368,110.026,0.144,0
Mighty Mighty Bosstones,Guns And The Young,6IzptAMQYI3gIoODJT3Y7j,1,95.17,4.92,2.5,0.018,0.388,0.923,0,6,0.163,-7.779,0,0.341,141.957,0.511,0
Dallas Holm,Here We Are,7JVasYtmxtMdzfQAR3kqTe,1,115.03,2.84,-1.1,0.194,0.469,0.31,1.97E-06,9,0.161,-15.889,1,0.0262,83.616,0.34,0
Urge Overkill,Crackbabies,5bHZJ06lUJIPaBqUmtMILP,1,100.44,2.15,0.4,0.000344,0.372,0.962,0.0661,4,0.619,-6.46,0,0.0678,152.943,0.26,0
themselves,Oversleeping,0UzTpBxPz3RStWxCVkYMrB,1,107.99,2.56,-0.5,0.0293,0.629,0.938,0,6,0.369,-6.808,1,0.198,116.708,0.693,0
Marshall Crenshaw,From Now Until Then,6QtvzLcdiEBzAUhrg4IezA,1,115.94,3.12,-1.5,0.128,0.396,0.712,0,2,0.125,-5.468,1,0.0483,121.561,0.488,0
Chris Rea,Josephine,6JFfOp1LTXnyDCTfHlOc9j,1,125.01,2.24,-2.9,0.0223,0.656,0.469,0.00866,3,0.0475,-15.941,0,0.0281,110.037,0.66,0
Showbread,Dinosaur Bones,2dMRqvrZuZu4pjCuKW0Ox3,1,110.66,5.36,0.7,0.00821,0.684,0.97,4.26E-05,7,0.0569,-4.699,1,0.123,112.713,0.507,0
Les Ogres De Barback,Flute,2mufggz1YPBaNTq98VCri5,0,0,0,0,0.504,0.202,0.183,0.0883,0,0.126,-10.632,0,0.0414,77.694,0.122,0
Nickelback,Savin' Me,4Gd9PUEuOTOJtbgd4YxLXM,1,115.54,2.96,-1.3,0.000731,0.441,0.815,0,3,0.414,-4.088,1,0.0276,164.021,0.522,1
Stevie Ray Vaughan And Double Trouble,Ain't Gone 'N' Give Up On Love,5sKLUVHc6FR1LHdoc0cgl1,1,113.3,3.74,-0.5,0.034,0.381,0.471,0.268,1,0.84,-10.812,1,0.0321,143.496,0.332,0
All Leather,Please Jesus_ Send Me Someone To Fuck,2kW8EJTLRxIg9jxjRXCxPZ,1,106.97,2.68,0,9.11E-05,0.39,0.79,0.219,5,0.298,-7.16,1,0.075,145.596,0.052,0
The Black Crowes,Roll Old Jeremiah,6TtFF0g6QGf8QlPgtOBYug,1,107.69,2.59,-0.4,0.16,0.505,0.507,0.00525,7,0.127,-12.144,1,0.0292,89.204,0.766,0
Free,Woman,4L6ihclQPu1hqP9r3WNJjQ,1,108.5,2.31,-0.7,0.0228,0.731,0.927,7.15E-05,0,0.187,-3.634,1,0.0781,119.006,0.478,0
Annie Lennox,Little Bird,1KX8GhTteEUlkbfzaRzbsx,1,123.18,2.96,-2.2,0.247,0.767,0.521,0.00124,9,0.303,-9.145,1,0.0351,124.995,0.672,1
Unwritten Law,Superman,4gmC6fbDNBBHGo3a18NFfo,1,107.18,3.1,-0.2,4.74E-05,0.431,0.987,0.257,2,0.287,-4.891,1,0.0997,101.192,0.31,0
Britney Spears,Can't Make You Love Me,7pY6xLJqmezJNG7VwuKVSH,1,106.47,3.21,0.2,0.119,0.81,0.924,8.73E-05,0,0.149,-4.02,0,0.0356,108.016,0.868,0
Iggy Pop,Main Street Eyes,36zWd8MqxsuzxF9V4VV4ld,1,107.28,3.38,-0.2,0.0641,0.674,0.512,6.80E-06,2,0.527,-11.754,1,0.0283,131.982,0.731,0
Billie Jo Spears,Misty Blue,5rk0C63hfDYR72tOpMOJob,1,123.49,2.84,-2.3,0.854,0.294,0.198,0.000107,5,0.212,-15.652,1,0.0343,95.09,0.31,0
Eddie Boyd,I got A Woman,13kygLzzdqc3myjYxFewxR,1,106.77,3.01,0.1,0.984,0.645,0.3,0.692,7,0.696,-13.911,1,0.105,73.602,0.597,0
The Antlers,The Carrying Arms,6tjptqPm268HIev9sa2ZFL,0,0,0,0,0.837,0.473,0.251,0.000217,7,0.193,-19.664,1,0.0734,150.06,0.42,0
Heaven 17,We Blame Love,6dq6mq6vVlM9RKMZsK5Yxe,1,89.34,5.52,2.6,0.231,0.559,0.902,0,7,0.949,-7.997,1,0.395,132.927,0.223,0
Owl City,On The Wing,3c13ucL6ziDiGD68rqoBNF,1,106.77,2.9,0.1,0.00049,0.601,0.756,0.000463,10,0.145,-6.675,1,0.032,115.003,0.0927,0
Screaming Lord Sutch,Murder In The Graveyard,0KuINTs8sVn9imOa7OTnUi,1,80.99,3.08,3.8,0.314,0.562,0.965,4.37E-06,1,0.338,-8.96,0,0.116,143.377,0.58,0
Brooke White,Hold Up My Heart,0HZGw30pIUh5drpM20skC2,1,97.8,3.33,1.5,0.411,0.314,0.641,0,2,0.106,-4.078,1,0.0387,177.211,0.409,1
themselves,Directions to my special place,3RwtBAjztBuAWr5RrPOWrh,1,90.05,5.69,2.4,0.309,0.629,0.486,0,2,0.419,-12.909,0,0.39,95.011,0.798,0
The Jeff Healey Band,See The Light,2q0dVdNhPacKTZmgzShAUX,1,114.83,2.92,-1,0.111,0.413,0.971,0.000145,7,0.332,-5.746,1,0.125,111.938,0.294,0
Rockabye Baby!,Desire,3wivk2dwJS4XsFwIKpg7M5,1,115.13,2.8,-1.2,0.814,0.763,0.471,0.857,8,0.113,-10.648,1,0.0651,100.044,0.504,0
Mudhoney,New Meaning,5fFne2rZgBtpBvwcWL7ikU,1,108.5,2.08,-0.7,9.57E-06,0.251,0.845,4.39E-06,9,0.0979,-6.084,1,0.0745,144.619,0.241,0
Joy Enriquez,Between You And Me,5xfcNeYBut6AC4aE0OYhF0,1,104.84,3.85,0.8,0.00211,0.597,0.57,0.931,0,0.0944,-8.47,1,0.0335,98.906,0.61,0
Hank Locklin,Why Baby Why,1wuexg7XgHZq6vw9QZctK7,1,103.32,4.3,1.4,0.78,0.605,0.381,0,7,0.0882,-9.673,1,0.0477,150.999,0.812,0
The Roches,We Three Kings,2stlpR6UTNhbFbID2KTumu,1,91.37,4.49,1.9,0.371,0.496,0.423,0.00147,2,0.0606,-13.135,0,0.0281,134.95,0.391,0
Bukka White,Sleepy Man Blues,5oFrwIo3NbMlj3i3JdFzb0,1,106.77,3,0.1,0.977,0.645,0.216,0.347,5,0.0994,-13.099,1,0.0382,87.426,0.6,0
Britney Spears,Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,1,115.23,3.12,-1.2,0.3,0.751,0.834,1.77E-05,1,0.355,-5.444,0,0.0437,95.053,0.894,1
Sleepy John Estes,Lawyer Clark Blues,1NuZ5z7kI7leWY7V7KUa2u,1,111.07,4.69,0.5,0.953,0.703,0.475,0,1,0.123,-3.73,1,0.035,83.795,0.751,0
Kane,Damn those eyes,4ib0xkg2nb6CxM8sgFUxJD,1,115.33,3,-1.2,0.000944,0.323,0.763,0,7,0.106,-5.037,1,0.0442,171.914,0.148,0
Nightfall,So(u)l Invictus,7LfcDDMLAAJDdlDcMjAoP5,1,105.15,4.26,0.7,1.75E-05,0.427,0.9,0.913,7,0.125,-5.151,0,0.0399,104.964,0.446,0
Kathy Troccoli,Turn Your Eyes Upon Jesus,6ompxTUBaYJ3MXSHkVRG5a,1,114.83,2.92,-1,0.937,0.39,0.0879,0.0183,2,0.0902,-20.139,1,0.0295,92.889,0.199,0
Ann Hampton Callaway,For All We Know,52guvBGj2kewGX78un7bDk,1,104.44,3.68,1,0.969,0.377,0.113,0.000386,3,0.105,-15.279,1,0.0369,173.002,0.201,0
Gaither Vocal Band,Knowing You'll Be There,7AiOLLLNgE7WUPZJwUMi8x,1,107.79,3.23,-0.4,0.507,0.28,0.271,0,6,0.667,-14.757,1,0.0321,168.942,0.221,0
Hoods,Heartless,26d4YjFBU9FPifakdDPFUK,1,98.51,3.73,1.2,0.000258,0.294,0.98,0.229,6,0.389,-5.02,1,0.157,119.043,0.136,0
Streetwize,U Don't Have To Call,2GD3aKkpbqgPp1Ckmimzji,1,114.12,3.44,-0.8,0.0398,0.818,0.508,0.00138,1,0.0357,-7.879,1,0.0403,101.413,0.721,0
The Shirelles,Foolish Little Girl,093adSf9ll30BEpggrfask,1,93.34,4.72,3.2,0.452,0.739,0.743,0,7,0.331,-5.926,0,0.0321,111.07,0.922,1
Jack Johnson,Inaudible Melodies,60l2klsUm0sh1J80XuaGnf,1,99.83,4.15,0.7,0.614,0.807,0.273,0.0179,6,0.132,-13.886,1,0.071,142.886,0.321,0
Every Time I Die,Your Touch Versus Death,4aSDZ6mOjp6KtmhAYQNmc7,1,83.25,7.6,5,0.000233,0.271,0.931,0.515,4,0.121,-9.761,0,0.0788,97.242,0.145,0
Set Your Goals,This Very Moment,1jy7GQO4gdFDToCzTfje8w,1,116.25,2.36,-1.6,0.0224,0.258,0.9,0.00809,8,0.108,-5.594,1,0.0542,92.255,0.418,0
Soulwax,Kill Your Darlings,7GoDeddbrkrHLeCwTjMQyM,1,107.58,2.44,-0.3,0.00118,0.394,0.838,0.000266,5,0.332,-7.683,1,0.0397,111.368,0.397,0
FFH,Here I Am,3vtjNTNtZUhLDz2dNTQ2I9,1,102.71,4.79,1.6,0.126,0.388,0.615,0,3,0.0905,-6.186,1,0.0294,138.518,0.129,0
John Mellencamp,Down And Out In Paradise,2k5LE1HaUasIFvuWYhEDKq,1,99.12,3.53,0.9,0.037,0.734,0.958,1.24E-05,11,0.242,-3.197,0,0.0556,135.175,0.906,0
Gene Pitney,Every Breath I Take,6u0MfwA7p9rmTR5zYioATQ,1,107.18,2.6,-0.2,0.237,0.487,0.783,0.000699,7,0.437,-6.54,1,0.042,93.362,0.655,1
April Wine,Babes In Arms,1FOgLSWDJiPdTsPYd1rp80,1,107.38,3.31,-0.3,0.0794,0.536,0.553,5.67E-06,11,0.294,-14.394,0,0.0317,126.904,0.926,0
Mariah Carey,Honey,5NaOWLOmVjcA3M5spRATN9,1,106.16,3.13,0.3,0.119,0.694,0.824,7.15E-06,1,0.152,-6.756,1,0.0909,95.833,0.675,1
Dax Riggs,Didn't Know Yet What I'd Know When I Was Bleedin',1kX5l6hQCbYSK85YezUiUi,1,116.96,2.41,-1.9,0.0644,0.46,0.599,0,1,0.096,-5.744,1,0.0337,74.421,0.452,0
The Ronettes,Born To Be Together,61xuOY4bOj3Z75SrUQ2Aqa,1,105.86,3.79,0.4,0.229,0.309,0.562,0.0749,7,0.294,-8.014,1,0.033,133.706,0.27,0
My Little Airport,Leo_ Are You Still Jumping Out Of Windows In Expensive Clothes?,51kaEqepmHaru1Qw6RH17c,1,115.33,2.72,-1.2,0.318,0.737,0.496,1.85E-06,11,0.168,-8.109,0,0.028,93.042,0.831,0
Rick Astley,Hopelessly,2sZX1XaQOGaOZEQLCzRkCU,1,104.23,4.23,1.1,0.46,0.547,0.457,0,8,0.122,-9.872,1,0.0293,150.001,0.298,1
Curtis Mayfield,You Better Stop,506la6kQ8HaTHVEeo06PWk,1,107.58,2.77,-0.3,0.0521,0.786,0.799,0.0232,10,0.286,-9.866,0,0.0431,118.634,0.564,0
Amorphis,The Lost Name of God,2S2uvDk968xlBBIwOST7k2,1,107.58,3.7,-0.3,0.000349,0.166,0.771,0.824,8,0.0646,-6.862,1,0.0548,128.071,0.162,0
Maroon 5,Through With You,6DhtWg2DzPVEcBZoJ2CJh9,1,106.57,3.14,0.2,0.0749,0.69,0.8,0,10,0.0848,-5.407,0,0.044,146.147,0.663,0
Salt-N-Pepa,Push It,6sT9MWlJManry3EQwf4V80,1,116.45,2.28,-1.7,0.00658,0.913,0.596,0.00349,11,0.078,-12.477,0,0.0707,127.215,0.973,1
Zeromancer,V,7FrkDZeld2fWazZec34xqF,1,107.48,2.63,-0.3,0.056,0.553,0.832,3.64E-05,2,0.11,-7.387,1,0.045,120.007,0.149,0
Atomic Rooster,Little Bit of Inner Air,3QyNmuuiawn81rwIbHHo2H,1,92.93,5.54,3.3,0.219,0.646,0.835,0.000614,9,0.144,-8.368,0,0.0553,124.939,0.82,0
Phil Collins,You Can't Hurry Love (Live),5h5p5J9HpyHCP9MqTgSeHd,1,115.64,2.87,-1.4,0.099,0.634,0.909,0.000275,7,0.434,-6.212,1,0.05,96.409,0.593,0
Black Flag,Out Of This World,2zoa8qLUUwzptrzjhMWxuZ,1,107.08,2.64,-0.1,0.0316,0.491,0.733,0.000211,0,0.114,-14.009,0,0.0393,103.598,0.33,0
Jim Reeves,Jingle Bells,5q1gPn2U9I0ZArcxMfm1WR,1,117.26,1.96,-2,0.714,0.604,0.453,0.00135,0,0.365,-8.823,1,0.0248,94.978,0.839,0
U2,40,7KYwo08DqOq8cQqtpxlASK,1,124.2,2.86,-2.6,0.114,0.26,0.677,0.0279,8,0.93,-9.7,1,0.0449,142.251,0.323,0
Bloomfield,Boulevard St. Germain,7DpLuyyNA10EZRAUXPvN0x,0,0,0,0,0.0315,0.747,0.707,0.86,8,0.32,-10.008,1,0.0503,180.031,0.369,0
Ayo,Only You,44DNRbTlkVXL80mZa2XwZl,1,103.63,4.22,1.3,0.0389,0.856,0.719,9.03E-06,10,0.0935,-6.519,0,0.0746,146.032,0.37,0
Tones On Tail,Burning Skies,6CmXuuXstpcQeLL007qdti,1,116.45,2.43,-1.7,0.00224,0.379,0.505,0.618,2,0.203,-11.048,0,0.0325,95.09,0.353,0
The Ataris,Secret Handshakes,2a72clY4RX1hRnuTtFc3Gn,1,106.97,2.98,0,0.0191,0.244,0.636,0.000225,11,0.482,-3.799,0,0.0393,135.201,0.402,0
ARRESTED DEVELOPMENT,Greener,3oYV3PvvVJjbGl5KoKanOW,1,97.5,3.99,1.6,0.0967,0.702,0.5,1.22E-05,11,0.0809,-7.706,1,0.166,98.038,0.463,0
FU-Schnickens,True Fuschnick,3oaWYEUBZ4QXrx4qgGIRwF,1,97.5,4.18,1.6,0.0508,0.857,0.663,0,8,0.0681,-11.964,0,0.304,101.945,0.726,0
The Mars Volta,Inertiatic Esp,16Elz7HJPLZPMylp13ewxv,1,117.57,1.84,-2.1,0.00419,0.22,0.83,3.06E-05,6,0.654,-3.584,0,0.0801,169.765,0.457,0
Agnostic Front,Sickness,0A4MS1XgBcFRW0DsR4VpGZ,1,89.65,4.26,2.5,0.00694,0.427,0.968,0,7,0.36,-2.562,1,0.106,151.438,0.711,0
Mungo Jerry,It's A Secret,0DvNu1qwjQuqf67jJca0QB,1,113.61,3.4,-0.6,0.122,0.455,0.681,0,9,0.0333,-10.214,0,0.0453,177.072,0.647,0
Don Gibson,(Prayer Is The Key To Heaven) Faith Unlocks The Door,4XDSGP2xBMENAviLGkPpkJ,1,102.2,5.26,1.8,0.961,0.512,0.113,0,9,0.107,-14.106,1,0.0304,81.865,0.227,0
Fall Out Boy,America's Suitehearts,3Dg1BK3rHo6mCvzSO2b9Ct,1,96.18,3.92,2.1,0.00826,0.483,0.931,0,2,0.107,-3.439,1,0.044,160.05,0.645,1
Christophe Beck,Main Title,19jxp71nVWPhGJea1zMB7y,0,0,0,0,0.51,0.56,0.126,0.0874,5,0.078,-14.599,1,0.041,118.238,0.207,0
Blind Willie Johnson,You'll Need Somebody On Your Bond,3eiem7veSZxkAHzuCxNGna,1,104.13,3.8,1.1,0.993,0.555,0.231,0.291,8,0.117,-14.084,1,0.0421,159.468,0.562,0
Capleton,Raggy Road,71EexRjueod73EjkUEaiJJ,1,106.06,3.24,0.4,0.241,0.549,0.696,0,8,0.413,-5.845,0,0.284,73.932,0.889,0
Tommy James And The Shondells,Gettin' Together,3VarPeE6u3uTvDDECUvsLY,1,91.17,2.45,1.9,0.541,0.705,0.814,4.56E-05,8,0.595,-10.893,1,0.0653,143.006,0.963,1
Autumnblaze,Haughtiness And Puerile Dreams,18b7L2PVjETDzWIFrpA7Wh,1,91.37,2.69,1.9,4.15E-06,0.325,0.931,0.784,2,0.313,-5.809,1,0.0526,160.025,0.351,0
City High,What Would You Do?,1tJkic0TURTCXw3rBhYgWu,1,104.03,3.97,1.1,0.259,0.733,0.794,0,7,0.483,-6.909,1,0.223,95.877,0.832,1
Martina McBride,Heart Trouble,1x71r5nkB6W1TNStpFxf5j,1,106.06,3.33,0.4,0.0388,0.51,0.867,0.000137,9,0.387,-7.733,1,0.0402,175.939,0.854,0
Busdriver,Unemployed Black Astronaut,6SxZ7tji2sLBHtSTW6xHHU,1,97.2,4.05,1.7,0.121,0.791,0.685,0,10,0.169,-10.021,0,0.224,92.988,0.363,0
Roy Brown,Good Rocking Tonight,29D3AG8rhX2OSWg8k9GIII,1,125.42,2.24,-3,0.913,0.488,0.716,0.0189,10,0.262,-10.015,0,0.177,165.429,0.513,0
Seal,Prayer For The Dying (Live In Paris),1gMUPkTS6jGlCaNEBT0p6z,1,106.06,3.04,0.4,0.11,0.265,0.84,3.28E-05,5,0.966,-6.57,1,0.0458,101.506,0.394,0
Faron Young,I'll Be Yours,2Keyg2ZS4sBrme9z72MXBb,1,108.09,2.24,-0.5,0.716,0.584,0.146,0,2,0.114,-12.411,1,0.0304,89.333,0.46,0
U2,October,1UlQqRd3NoMYUI29v6DFb5,1,117.46,1.88,-2.1,0.959,0.471,0.0365,0.808,9,0.099,-18.46,0,0.0608,172.646,0.118,0
The Chieftains,No. 6 The Coombe,3R5lRiXo65H52y4ZQXZ12n,0,0,0,0,0.85,0.35,0.429,0.559,7,0.434,-10.419,1,0.0397,104.827,0.449,0
Brenda Lee,If I'M Dreaming just Let Me Dream,7yFy6bJzv1P7NeDMvSyPpF,1,114.22,3.42,-0.8,0.661,0.761,0.384,0,8,0.146,-9.582,1,0.0448,124.132,0.962,0
Behemoth,Here And Beyond,3PjD03Mq7klIKAAv2R5GVi,1,99.33,4.56,0.9,0.000591,0.312,0.948,8.63E-05,1,0.2,-5.451,1,0.196,109.297,0.195,0
Dickies,Gigantor,3JMRx5zZczxn09GXyhB3u7,1,100.65,2.32,0.4,0.000499,0.433,0.9,0.000486,9,0.146,-9.412,1,0.0358,107.755,0.471,0
Bad Azz,How We Get Down,1DXuH2qNd0rXjKpvEHuwgr,1,96.38,4.22,2,0.357,0.863,0.764,0,7,0.743,-4.615,1,0.326,103.087,0.464,0
Crowbar,No Quarter,1FiZtg6Z3n6pERy1ckbEK8,1,115.84,2.52,-1.4,0.000241,0.398,0.726,0.107,4,0.119,-8.262,1,0.0397,95.065,0.377,0
Bob Marley & The Wailers,Three Little Birds,6A9mKXlFRPMPem6ygQSt7z,1,98.01,2.88,1.4,0.0111,0.814,0.482,1.57E-06,9,0.0476,-10.493,1,0.0588,148.404,0.615,0
Jack Johnson,Adrift,2CjUSmHm2d76VoWRgpQ6mO,1,115.54,2.64,-1.3,0.86,0.64,0.198,0.0186,0,0.108,-15.429,1,0.0387,80.805,0.362,0
Blue Rodeo,Fools Like You,42H7792roMInGfptO5kynu,1,97.5,4.52,1.6,0.00477,0.652,0.787,0.000131,7,0.103,-6.259,1,0.0294,126.15,0.588,0
Skeeter Davis,My Last Date (With You),3kvyaShezE8dMWfbL44TdI,1,124.71,2.36,-2.8,0.84,0.428,0.28,9.18E-05,0,0.141,-8.952,1,0.0261,98.241,0.429,1
Charlie Louvin,See The Big Man Cry,1npdcr23x3KnyqOnUgiI7f,1,101.49,4.84,2.1,0.549,0.651,0.556,0,1,0.0971,-10.302,1,0.0651,126.693,0.927,0
Benga,The Future,3CbPiXlzOffxDFm4IelCgv,1,105.35,4.69,0.6,0.271,0.433,0.61,6.36E-06,2,0.335,-7.052,1,0.261,143.02,0.546,0
Bobaflex,Turn The Heat Up,3T7W0A3sTz7py3sLgZLUkW,1,106.77,3.73,0.1,0.0158,0.594,0.902,0,10,0.35,-3.218,0,0.0503,93.019,0.567,0
Kool Moe Dee,Death Blow,1kKGdlGlAMHNC17KK8T71F,1,104.84,3.77,0.8,0.00348,0.842,0.613,1.08E-06,11,0.332,-11.544,0,0.159,107.04,0.555,0
Danielle Bollinger,Kiss the Sky,7wmMUVolaZuPXaw63D5NGH,1,115.43,2.94,-1.3,0.00299,0.632,0.827,0,4,0.202,-9.765,0,0.0341,133.993,0.713,0
Vangelis,3 + 3,51ls9Fq46Q8iC5nNy8F36b,1,77.53,7.76,5.1,0.598,0.498,0.43,0.895,1,0.0749,-16.933,1,0.0383,149.28,0.373,0
Teenage Fanclub,I Don't Know,6mbGky48xfrJuhfsWMJn5B,1,125.62,2.36,-3.1,5.52E-06,0.324,0.735,0.822,6,0.363,-13.306,1,0.0401,115.875,0.425,0
Martina McBride,Anything's Better Than Feelin' The Blues,45OXQQl3NuYhf9bJ0sTfJc,1,98.51,2.68,1.2,0.0538,0.683,0.614,5.16E-06,11,0.0786,-6.902,1,0.0287,151.807,0.58,0
Warner mack,Is It Wrong,6bCljFsFyDzycffDELCibT,1,103.52,4.04,1.3,0.843,0.658,0.414,0.235,8,0.105,-10.84,1,0.029,94.224,0.852,0
Bullet For My Valentine,4 Words (To Choke Upon),6afOkCSh3EZfU9OluCgo34,1,117.06,2.04,-1.9,8.97E-05,0.369,0.95,7.66E-05,8,0.126,-2.875,1,0.081,92.555,0.33,0
David Banner,Syrup Sipping (Banner Beat Break),4xMr5RrXvTWyx6rt7HCxVU,1,96.38,4.88,2,0.0386,0.828,0.352,0,3,0.139,-11.63,0,0.189,83.536,0.372,0
Heavy D,Private Dancer,2mKZcegeo7SMpcNWwwrqWf,1,104.64,3.68,0.9,0.108,0.54,0.734,0,2,0.0503,-5.789,1,0.237,76.563,0.719,0
Brooke Valentine,American Girl,6P4AI7z9A56LwQZgNKkO7u,1,107.79,2.77,-0.4,0.0735,0.861,0.623,8.22E-05,9,0.113,-6.299,1,0.0694,130.429,0.941,0
Butthole Surfers,22 Going On 23,1f4Dmoh5BbeSi3v6J6p6CE,1,63.25,6.93,6.4,0.0377,0.358,0.702,0.0807,4,0.303,-10.013,1,0.221,145.091,0.454,0
Funeral For A Friend,Your Revolution Is A Joke,0yAIs7T9oFIGj3rMBoPqaw,1,116.86,2.46,-1.8,0.733,0.425,0.314,1.81E-05,6,0.127,-10.43,1,0.0295,148.111,0.176,0
Winds Of Plague,Origins And Endings,3ep9xmBBCpieRlWuIEc4xy,1,107.58,2.8,-0.3,1.70E-05,0.297,0.929,0.367,9,0.0751,-3.547,0,0.0844,124.959,0.252,0
Spooky Tooth,Waitin' For The Wind,6Q4w0re7GUjI0OnFRTVOoX,1,116.04,3.22,-1.5,0.00547,0.587,0.39,0.18,9,0.177,-12.683,1,0.0322,96.847,0.832,0
Planxty,The Lakes Of Pontchartrain,6GZbmzrjWGfrlJvGCd8OjH,1,107.58,2.72,-0.3,0.804,0.326,0.0895,1.42E-05,11,0.243,-22.996,1,0.0363,118.224,0.192,0
Bessie Smith,Chicago Bound Blues,6k4sUOMIyhOS6ScNXyB0yT,1,96.69,4.58,1.9,0.995,0.547,0.0603,0.0151,9,0.228,-18.523,1,0.0389,67.444,0.356,0
Jimmy Page,Liquid Mercury,4GkjkuWQFcelnsZYDWL1eY,0,0,0,0,0.00672,0.427,0.486,0.933,2,0.0385,-11.207,1,0.0499,149.553,0.539,0
Big Audio Dynamite,Badrock City,0sPn2CTBjrCkjhm1eeAdp6,0,0,0,0,0.0008,0.795,0.534,0.653,7,0.108,-17.639,1,0.0607,125.015,0.538,0
Donnie McClurkin,Psalm 27,0vEa7np8WnYoXpcSbPJtTF,1,106.87,2.72,0,0.477,0.546,0.631,9.91E-06,5,0.784,-7.487,1,0.0608,149.866,0.628,0
Jimmy Page,Writes Of Winter,72NJIixYQDJix98dLT1M4P,0,0,0,0,0.00161,0.404,0.875,0.9,9,0.0858,-10.192,1,0.0546,136.372,0.508,0
brokeNCYDE,Freaxxx,3qqKXm1Y4HB8ZYU2tKeAMs,1,105.66,3.53,0.5,0.00204,0.566,0.74,0,1,0.127,-6.693,1,0.144,119.884,0.131,0
DJ Harry,Other Side of You,22kfUK0fp0Zc9bmuybLVol,0,0,0,0,0.0222,0.632,0.838,0.0697,7,0.096,-6.285,1,0.0466,100.018,0.423,0
John Fogerty,Soda Pop,4n7IDminxNQtP6zGN4iZgX,1,85.59,4.65,4.1,0.245,0.886,0.763,6.67E-06,0,0.352,-7.472,1,0.0542,105.133,0.791,0
The Rolling Stones,Start Me Up,7HKez549fwJQDzx3zLjHKC,1,106.97,2.68,0,0.0436,0.631,0.932,0.137,5,0.0918,-4.142,1,0.0354,122.429,0.971,1
Kenny Rogers,Love Is What We Make It,14GbMuej5hOS7VBHQkXQsQ,1,114.22,3.16,-0.8,0.383,0.494,0.265,0,5,0.0964,-16.899,1,0.0335,137.549,0.238,0
The Cardigans,Marvel Hill,43WoMcHju3TtXCWSP4sNX3,1,116.75,2.16,-1.8,1.95E-05,0.549,0.601,0.0242,11,0.192,-7.883,1,0.0267,105.843,0.205,0
Busta Rhymes,We Got What You Want,4mjeBHD8IfHAsBPEvKy3aI,1,105.25,3.36,0.7,0.00331,0.617,0.462,0,11,0.12,-5.311,1,0.49,80.845,0.805,0
Less Than Jake,Automatic,6hxxNvnPcPZFUqQxtjHMG7,1,105.96,3.51,0.4,0.000155,0.353,0.975,2.99E-05,2,0.0796,-2.877,1,0.0688,132.628,0.684,0
Phil Vassar,Like I Never Loved Before,1cl3rurzw8Rj8YN2Lu1xiT,1,106.87,2.9,0,0.606,0.424,0.459,0.000137,9,0.277,-7.879,1,0.0356,144.222,0.159,0
The Del McCoury Band,High On the Mountain,5sl2q49IvFZnq1tPsgWxJl,1,104.84,4.27,0.8,0.516,0.614,0.41,0.000454,7,0.208,-13.339,1,0.0339,90.248,0.836,0
Liars,Cycle Time,6TjzWqZbwsmdOIZHkf6bHI,1,113.51,3.44,-0.5,0.154,0.11,0.801,0.0423,2,0.102,-5.066,1,0.0698,153.031,0.235,0
3 of Hearts,Is It Love,3amYI8aq7j5vV6oJAm6k7z,1,115.13,2.8,-1.2,0.544,0.381,0.465,0,3,0.227,-8.523,1,0.0344,203.327,0.267,0
EPMD,Head Banger,4XZCfy8sGPMWKGNeuEvxTK,1,104.84,4.25,0.8,0.0852,0.644,0.734,0,9,0.332,-9.381,1,0.336,96.603,0.648,0
Kurtis Blow,I'm Chillin,7quhVI8On4B58KgiXBpFOc,1,105.76,3.39,0.5,0.0231,0.768,0.905,0.00058,7,0.0441,-10.618,1,0.0814,108.397,0.717,0
